STATION,DATE,REPORT_TYPE,SOURCE,HourlyDryBulbTemperature
72520094823,2020-02-13T22:51:00,FM-15,7,29
72520094823,2020-02-13T23:51:00,FM-15,7,27
72520094823,2020-02-14T00:51:00,FM-15,7,25
72520094823,2020-02-14T01:51:00,FM-15,7,24
72520094823,2020-02-14T02:51:00,FM-15,7,23
72520094823,2020-02-14T03:51:00,FM-15,7,21
72520094823,2020-02-14T04:51:00,FM-15,7,20
72520094823,2020-02-14T05:51:00,FM-15,7,19
72520094823,2020-02-14T06:51:00,FM-15,7,18
72520094823,2020-02-14T07:51:00,FM-15,7,19
72520094823,2020-02-14T08:51:00,FM-15,7,19
72520094823,2020-02-14T09:51:00,FM-15,7,19
72520094823,2020-02-14T10:51:00,FM-15,7,19
72520094823,2020-02-14T11:51:00,FM-15,7,19
72520094823,2020-02-14T12:51:00,FM-15,7,20
72520094823,2020-02-14T13:51:00,FM-15,7,20
72520094823,2020-02-14T14:51:00,FM-15,7,21
72520094823,2020-02-14T15:51:00,FM-15,7,20
72520094823,2020-02-14T16:51:00,FM-15,7,20
72520094823,2020-02-14T17:51:00,FM-15,7,18
72520094823,2020-02-14T18:51:00,FM-15,7,17
72520094823,2020-02-14T19:51:00,FM-15,7,16
72520094823,2020-02-14T20:51:00,FM-15,7,15
72520094823,2020-02-14T21:51:00,FM-15,7,14
72520094823,2020-02-14T22:51:00,FM-15,7,13
72520094823,2020-02-14T23:51:00,FM-15,7,12
72520094823,2020-02-15T00:51:00,FM-15,7,11
72520094823,2020-02-15T01:51:00,FM-15,7,11
72520094823,2020-02-15T02:51:00,FM-15,7,10
72520094823,2020-02-15T03:51:00,FM-15,7,10
72520094823,2020-02-15T04:51:00,FM-15,7,10
72520094823,2020-02-15T05:51:00,FM-15,7,10
72520094823,2020-02-15T06:51:00,FM-15,7,9
72520094823,2020-02-15T07:51:00,FM-15,7,11
72520094823,2020-02-15T08:51:00,FM-15,7,16
72520094823,2020-02-15T09:51:00,FM-15,7,21
72520094823,2020-02-15T10:51:00,FM-15,7,23
72520094823,2020-02-15T11:51:00,FM-15,7,25
72520094823,2020-02-15T12:51:00,FM-15,7,28
72520094823,2020-02-15T13:51:00,FM-15,7,31
72520094823,2020-02-15T14:51:00,FM-15,7,34
72520094823,2020-02-15T15:51:00,FM-15,7,34
72520094823,2020-02-15T16:51:00,FM-15,7,34
72520094823,2020-02-15T17:51:00,FM-15,7,34
72520094823,2020-02-15T18:51:00,FM-15,7,33
72520094823,2020-02-15T19:51:00,FM-15,7,33
72520094823,2020-02-15T20:51:00,FM-15,7,33
72520094823,2020-02-15T21:51:00,FM-15,7,32
72520094823,2020-02-15T22:51:00,FM-15,7,32
72520094823,2020-02-15T23:51:00,FM-15,7,34
72520094823,2020-02-16T00:51:00,FM-15,7,31
72520094823,2020-02-16T01:51:00,FM-15,7,32
72520094823,2020-02-16T02:51:00,FM-15,7,34
72520094823,2020-02-16T03:51:00,FM-15,7,34
72520094823,2020-02-16T04:51:00,FM-15,7,35
72520094823,2020-02-16T05:51:00,FM-15,7,35
72520094823,2020-02-16T06:51:00,FM-15,7,36
72520094823,2020-02-16T07:51:00,FM-15,7,36
72520094823,2020-02-16T08:51:00,FM-15,7,37
72520094823,2020-02-16T09:51:00,FM-15,7,39
72520094823,2020-02-16T10:51:00,FM-15,7,40
72520094823,2020-02-16T11:51:00,FM-15,7,40
72520094823,2020-02-16T12:51:00,FM-15,7,40
72520094823,2020-02-16T13:51:00,FM-15,7,40
72520094823,2020-02-16T14:51:00,FM-15,7,39
72520094823,2020-02-16T15:51:00,FM-15,7,37
72520094823,2020-02-16T16:51:00,FM-15,7,37
72520094823,2020-02-16T17:51:00,FM-15,7,36
72520094823,2020-02-16T18:51:00,FM-15,7,34
72520094823,2020-02-16T19:51:00,FM-15,7,34
72520094823,2020-02-16T20:51:00,FM-15,7,31
72520094823,2020-02-16T21:51:00,FM-15,7,30
72520094823,2020-02-16T22:51:00,FM-15,7,29
72520094823,2020-02-16T23:51:00,FM-15,7,29
72520094823,2020-02-17T00:51:00,FM-15,7,27
72520094823,2020-02-17T01:51:00,FM-15,7,25
72520094823,2020-02-17T02:51:00,FM-15,7,24
72520094823,2020-02-17T03:51:00,FM-15,7,23
72520094823,2020-02-17T04:51:00,FM-15,7,22
72520094823,2020-02-17T05:51:00,FM-15,7,22
72520094823,2020-02-17T06:51:00,FM-15,7,22
72520094823,2020-02-17T07:51:00,FM-15,7,23
72520094823,2020-02-17T08:51:00,FM-15,7,29
72520094823,2020-02-17T09:51:00,FM-15,7,32
72520094823,2020-02-17T10:51:00,FM-15,7,38
72520094823,2020-02-17T11:51:00,FM-15,7,40
72520094823,2020-02-17T12:51:00,FM-15,7,42
72520094823,2020-02-17T13:51:00,FM-15,7,44
72520094823,2020-02-17T14:51:00,FM-15,7,45
72520094823,2020-02-17T15:51:00,FM-15,7,46
72520094823,2020-02-17T16:51:00,FM-15,7,45
72520094823,2020-02-17T17:51:00,FM-15,7,43
72520094823,2020-02-17T18:51:00,FM-15,7,43
72520094823,2020-02-17T19:51:00,FM-15,7,42
72520094823,2020-02-17T20:51:00,FM-15,7,41
72520094823,2020-02-17T21:51:00,FM-15,7,42
72520094823,2020-02-17T22:51:00,FM-15,7,43
72520094823,2020-02-17T23:51:00,FM-15,7,44
72520094823,2020-02-18T00:51:00,FM-15,7,45
72520094823,2020-02-18T01:51:00,FM-15,7,45
72520094823,2020-02-18T02:51:00,FM-15,7,45
72520094823,2020-02-18T03:51:00,FM-15,7,45
72520094823,2020-02-18T04:51:00,FM-15,7,48
72520094823,2020-02-18T05:51:00,FM-15,7,50
72520094823,2020-02-18T06:51:00,FM-15,7,50
72520094823,2020-02-18T07:51:00,FM-15,7,48
72520094823,2020-02-18T08:51:00,FM-15,7,49
72520094823,2020-02-18T09:51:00,FM-15,7,49
72520094823,2020-02-18T10:51:00,FM-15,7,50
72520094823,2020-02-18T11:51:00,FM-15,7,51
72520094823,2020-02-18T12:51:00,FM-15,7,50
72520094823,2020-02-18T13:51:00,FM-15,7,48
72520094823,2020-02-18T14:51:00,FM-15,7,48
72520094823,2020-02-18T15:51:00,FM-15,7,49
72520094823,2020-02-18T16:51:00,FM-15,7,49
72520094823,2020-02-18T17:51:00,FM-15,7,45
72520094823,2020-02-18T18:51:00,FM-15,7,44
72520094823,2020-02-18T19:51:00,FM-15,7,43
72520094823,2020-02-18T20:51:00,FM-15,7,41
72520094823,2020-02-18T21:51:00,FM-15,7,39
72520094823,2020-02-18T22:51:00,FM-15,7,37
72520094823,2020-02-18T23:51:00,FM-15,7,35
72520094823,2020-02-19T00:51:00,FM-15,7,34
72520094823,2020-02-19T01:51:00,FM-15,7,31
72520094823,2020-02-19T02:51:00,FM-15,7,30
72520094823,2020-02-19T03:51:00,FM-15,7,29
72520094823,2020-02-19T04:51:00,FM-15,7,28
72520094823,2020-02-19T05:51:00,FM-15,7,28
72520094823,2020-02-19T06:51:00,FM-15,7,27
72520094823,2020-02-19T07:51:00,FM-15,7,27
72520094823,2020-02-19T08:51:00,FM-15,7,29
72520094823,2020-02-19T09:51:00,FM-15,7,31
72520094823,2020-02-19T10:51:00,FM-15,7,33
72520094823,2020-02-19T11:51:00,FM-15,7,36
72520094823,2020-02-19T12:51:00,FM-15,7,37
72520094823,2020-02-19T13:51:00,FM-15,7,39
72520094823,2020-02-19T14:51:00,FM-15,7,39
72520094823,2020-02-19T15:51:00,FM-15,7,39
72520094823,2020-02-19T16:51:00,FM-15,7,38
72520094823,2020-02-19T17:51:00,FM-15,7,35
72520094823,2020-02-19T18:51:00,FM-15,7,32
72520094823,2020-02-19T19:51:00,FM-15,7,31
72520094823,2020-02-19T20:51:00,FM-15,7,29
72520094823,2020-02-19T21:51:00,FM-15,7,28
72520094823,2020-02-19T22:51:00,FM-15,7,27
72520094823,2020-02-19T23:51:00,FM-15,7,26
72520094823,2020-02-20T00:51:00,FM-15,7,25
72520094823,2020-02-20T01:51:00,FM-15,7,24
72520094823,2020-02-20T02:51:00,FM-15,7,24
72520094823,2020-02-20T03:51:00,FM-15,7,23
72520094823,2020-02-20T04:51:00,FM-15,7,22
72520094823,2020-02-20T05:51:00,FM-15,7,21
72520094823,2020-02-20T06:51:00,FM-15,7,21
72520094823,2020-02-20T07:51:00,FM-15,7,23
72520094823,2020-02-20T08:51:00,FM-15,7,24
72520094823,2020-02-20T09:51:00,FM-15,7,26
72520094823,2020-02-20T10:51:00,FM-15,7,27
72520094823,2020-02-20T11:51:00,FM-15,7,27
72520094823,2020-02-20T12:51:00,FM-15,7,27
72520094823,2020-02-20T13:51:00,FM-15,7,27
72520094823,2020-02-20T14:51:00,FM-15,7,26
72520094823,2020-02-20T15:51:00,FM-15,7,26
72520094823,2020-02-20T16:51:00,FM-15,7,26
72520094823,2020-02-20T17:51:00,FM-15,7,24
72520094823,2020-02-20T18:51:00,FM-15,7,23
72520094823,2020-02-20T19:51:00,FM-15,7,21
72520094823,2020-02-20T20:51:00,FM-15,7,20
72520094823,2020-02-20T21:51:00,FM-15,7,19
72520094823,2020-02-20T22:51:00,FM-15,7,18
72520094823,2020-02-20T23:51:00,FM-15,7,16
72520094823,2020-02-21T00:51:00,FM-15,7,15
72520094823,2020-02-21T01:51:00,FM-15,7,14
72520094823,2020-02-21T02:51:00,FM-15,7,13
72520094823,2020-02-21T03:51:00,FM-15,7,12
72520094823,2020-02-21T04:51:00,FM-15,7,12
72520094823,2020-02-21T05:51:00,FM-15,7,12
72520094823,2020-02-21T06:51:00,FM-15,7,12
72520094823,2020-02-21T07:51:00,FM-15,7,13
72520094823,2020-02-21T08:51:00,FM-15,7,18
72520094823,2020-02-21T09:51:00,FM-15,7,21
72520094823,2020-02-21T10:51:00,FM-15,7,24
72520094823,2020-02-21T11:51:00,FM-15,7,26
72520094823,2020-02-21T12:51:00,FM-15,7,29
72520094823,2020-02-21T13:51:00,FM-15,7,32
72520094823,2020-02-21T14:51:00,FM-15,7,32
72520094823,2020-02-21T15:51:00,FM-15,7,33
72520094823,2020-02-21T16:51:00,FM-15,7,33
72520094823,2020-02-21T17:51:00,FM-15,7,32
72520094823,2020-02-21T18:51:00,FM-15,7,30
72520094823,2020-02-21T19:51:00,FM-15,7,29
72520094823,2020-02-21T20:51:00,FM-15,7,28
72520094823,2020-02-21T21:51:00,FM-15,7,28
72520094823,2020-02-21T22:51:00,FM-15,7,27
72520094823,2020-02-21T23:51:00,FM-15,7,26
72520094823,2020-02-22T00:51:00,FM-15,7,25
72520094823,2020-02-22T01:51:00,FM-15,7,25
72520094823,2020-02-22T02:51:00,FM-15,7,25
72520094823,2020-02-22T03:51:00,FM-15,7,24
72520094823,2020-02-22T04:51:00,FM-15,7,24
72520094823,2020-02-22T05:51:00,FM-15,7,23
72520094823,2020-02-22T06:51:00,FM-15,7,23
72520094823,2020-02-22T07:51:00,FM-15,7,24
